Id,Category
0,positive
1,positive
2,positive
3,positive
4,positive
5,positive
6,positive
7,positive
8,positive
9,positive
10,positive
11,positive
12,positive
13,positive
14,positive
15,positive
16,positive
17,positive
18,positive
19,positive
20,positive
21,positive
22,positive
23,positive
24,positive
25,positive
26,positive
27,positive
28,positive
29,positive
30,positive
31,positive
32,positive
33,positive
34,positive
35,positive
36,positive
37,positive
38,positive
39,positive
40,positive
41,positive
42,positive
43,positive
44,positive
45,positive
46,positive
47,positive
48,positive
49,positive
50,positive
51,positive
52,positive
53,positive
54,positive
55,positive
56,positive
57,positive
58,positive
59,positive
60,positive
61,positive
62,positive
63,positive
64,positive
65,positive
66,positive
67,positive
68,positive
69,positive
70,positive
71,positive
72,positive
73,positive
74,positive
75,positive
76,positive
77,positive
78,positive
79,positive
80,positive
81,positive
82,positive
83,positive
84,positive
85,positive
86,positive
87,positive
88,positive
89,positive
90,positive
91,positive
92,positive
93,positive
94,positive
95,positive
96,positive
97,positive
98,positive
99,positive
100,positive
101,positive
102,positive
103,positive
104,positive
105,positive
106,positive
107,positive
108,positive
109,positive
110,positive
111,positive
112,positive
113,positive
114,positive
115,positive
116,positive
117,positive
118,positive
119,positive
120,positive
121,positive
122,positive
123,positive
124,positive
125,positive
126,positive
127,positive
128,positive
129,positive
130,positive
131,positive
132,positive
133,positive
134,positive
135,positive
136,positive
137,positive
138,positive
139,positive
140,positive
141,positive
142,positive
143,positive
144,positive
145,positive
146,positive
147,positive
148,positive
149,positive
150,positive
151,positive
152,positive
153,positive
154,positive
155,positive
156,positive
157,positive
158,positive
159,positive
160,positive
161,positive
162,positive
163,positive
164,positive
165,positive
166,positive
167,positive
168,positive
169,positive
170,positive
171,positive
172,positive
173,positive
174,positive
175,positive
176,positive
177,positive
178,positive
179,positive
180,positive
181,positive
182,positive
183,positive
184,positive
185,positive
186,positive
187,positive
188,positive
189,positive
190,positive
191,positive
192,positive
193,positive
194,positive
195,positive
196,positive
197,positive
198,positive
199,positive
200,positive
201,positive
202,positive
203,positive
204,positive
205,positive
206,positive
207,positive
208,positive
209,positive
210,positive
211,positive
212,positive
213,positive
214,positive
215,positive
216,positive
217,positive
218,positive
219,positive
220,positive
221,positive
222,positive
223,positive
224,positive
225,positive
226,positive
227,positive
228,positive
229,positive
230,positive
231,positive
232,positive
233,positive
234,positive
235,positive
236,positive
237,positive
238,positive
239,positive
240,positive
241,positive
242,positive
243,positive
244,positive
245,positive
246,positive
247,positive
248,positive
249,positive
250,positive
251,positive
252,positive
253,positive
254,positive
255,positive
256,positive
257,positive
258,positive
259,positive
260,positive
261,positive
262,positive
263,positive
264,positive
265,positive
266,positive
267,positive
268,positive
269,positive
270,positive
271,positive
272,positive
273,positive
274,positive
275,positive
276,positive
277,positive
278,positive
279,positive
280,positive
281,positive
282,positive
283,positive
284,positive
285,positive
286,positive
287,positive
288,positive
289,positive
290,positive
291,positive
292,positive
293,positive
294,positive
295,positive
296,positive
297,positive
298,positive
299,positive
300,positive
301,positive
302,positive
303,positive
304,positive
305,positive
306,positive
307,positive
308,positive
309,positive
310,positive
311,positive
312,positive
313,positive
314,positive
315,positive
316,positive
317,positive
318,positive
319,positive
320,positive
321,positive
322,positive
323,positive
324,positive
325,positive
326,positive
327,positive
328,positive
329,positive
330,positive
331,positive
332,positive
333,positive
334,positive
335,positive
336,positive
337,positive
338,positive
339,positive
340,positive
341,positive
342,positive
343,positive
344,positive
345,positive
346,positive
347,positive
348,positive
349,positive
350,positive
351,positive
352,positive
353,positive
354,positive
355,positive
356,positive
357,positive
358,positive
359,positive
360,positive
361,positive
362,positive
363,positive
364,positive
365,positive
366,positive
367,positive
368,positive
369,positive
370,positive
371,positive
372,positive
373,positive
374,positive
375,positive
376,positive
377,positive
378,positive
379,positive
380,positive
381,positive
382,positive
383,positive
384,positive
385,positive
386,positive
387,positive
388,positive
389,positive
390,positive
391,positive
392,positive
393,positive
394,positive
395,positive
396,positive
397,positive
398,positive
399,positive
400,positive
401,positive
402,positive
403,positive
404,positive
405,positive
406,positive
407,positive
408,positive
409,positive
410,positive
411,positive
412,positive
413,positive
414,positive
415,positive
416,positive
417,positive
418,positive
419,positive
420,positive
421,positive
422,positive
423,positive
424,positive
425,positive
426,positive
427,positive
428,positive
429,positive
430,positive
431,positive
432,positive
433,positive
434,positive
435,positive
436,positive
437,positive
438,positive
439,positive
440,positive
441,positive
442,positive
443,positive
444,positive
445,positive
446,positive
447,positive
448,positive
449,positive
450,positive
451,positive
452,positive
453,positive
454,positive
455,positive
456,positive
457,positive
458,positive
459,positive
460,positive
461,positive
462,positive
463,positive
464,positive
465,positive
466,positive
467,positive
468,positive
469,positive
470,positive
471,positive
472,positive
473,positive
474,positive
475,positive
476,positive
477,positive
478,positive
479,positive
480,positive
481,positive
482,positive
483,positive
484,positive
485,positive
486,positive
487,positive
488,positive
489,positive
490,positive
491,positive
492,positive
493,positive
494,positive
495,positive
496,positive
497,positive
498,positive
499,positive
500,positive
501,positive
502,positive
503,positive
504,positive
505,positive
506,positive
507,positive
508,positive
509,positive
510,positive
511,positive
512,positive
513,positive
514,positive
515,positive
516,positive
517,positive
518,positive
519,positive
520,positive
521,positive
522,positive
523,positive
524,positive
525,positive
526,positive
527,positive
528,positive
529,positive
530,positive
531,positive
532,positive
533,positive
534,positive
535,positive
536,positive
537,positive
538,positive
539,positive
540,positive
541,positive
542,positive
543,positive
544,positive
545,positive
546,positive
547,positive
548,positive
549,positive
550,positive
551,positive
552,positive
553,positive
554,positive
555,positive
556,positive
557,positive
558,positive
559,positive
560,positive
561,positive
562,positive
563,positive
564,positive
565,positive
566,positive
567,positive
568,positive
569,positive
570,positive
571,positive
572,positive
573,positive
574,positive
575,positive
576,positive
577,positive
578,positive
579,positive
580,positive
581,positive
582,positive
583,positive
584,positive
585,positive
586,positive
587,positive
588,positive
589,positive
590,positive
591,positive
592,positive
593,positive
594,positive
595,positive
596,positive
597,positive
598,positive
599,positive
600,positive
601,positive
602,positive
603,positive
604,positive
605,positive
606,positive
607,positive
608,positive
609,positive
610,positive
611,positive
612,positive
613,positive
614,positive
615,positive
616,positive
617,positive
618,positive
619,positive
620,positive
621,positive
622,positive
623,positive
624,positive
625,positive
626,positive
627,positive
628,positive
629,positive
630,positive
631,positive
632,positive
633,positive
634,positive
635,positive
636,positive
637,positive
638,positive
639,positive
640,positive
641,positive
642,positive
643,positive
644,positive
645,positive
646,positive
647,positive
648,positive
649,positive
650,positive
651,positive
652,positive
653,positive
654,positive
655,positive
656,positive
657,positive
658,positive
659,positive
660,positive
661,positive
662,positive
663,positive
664,positive
665,positive
666,positive
667,positive
668,positive
669,positive
670,positive
671,positive
672,positive
673,positive
674,positive
675,positive
676,positive
677,positive
678,positive
679,positive
680,positive
681,positive
682,positive
683,positive
684,positive
685,positive
686,positive
687,positive
688,positive
689,positive
690,positive
691,positive
692,positive
693,positive
694,positive
695,positive
696,positive
697,positive
698,positive
699,positive
700,positive
701,positive
702,positive
703,positive
704,positive
705,positive
706,positive
707,positive
708,positive
709,positive
710,positive
711,positive
712,positive
713,positive
714,positive
715,positive
716,positive
717,positive
718,positive
719,positive
720,positive
721,positive
722,positive
723,positive
724,positive
725,positive
726,positive
727,positive
728,positive
729,positive
730,positive
731,positive
732,positive
733,positive
734,positive
735,positive
736,positive
737,positive
738,positive
739,positive
740,positive
741,positive
742,positive
743,positive
744,positive
745,positive
746,positive
747,positive
748,positive
749,positive
750,positive
751,positive
752,positive
753,positive
754,positive
755,positive
756,positive
757,positive
758,positive
759,positive
760,positive
761,positive
762,positive
763,positive
764,positive
765,positive
766,positive
767,positive
768,positive
769,positive
770,positive
771,positive
772,positive
773,positive
774,positive
775,positive
776,positive
777,positive
778,positive
779,positive
780,positive
781,positive
782,positive
783,positive
784,positive
785,positive
786,positive
787,positive
788,positive
789,positive
790,positive
791,positive
792,positive
793,positive
794,positive
795,positive
796,positive
797,positive
798,positive
799,positive
800,positive
801,positive
802,positive
803,positive
804,positive
805,positive
806,positive
807,positive
808,positive
809,positive
810,positive
811,positive
812,positive
813,positive
814,positive
815,positive
816,positive
817,positive
818,positive
819,positive
820,positive
821,positive
822,positive
823,positive
824,positive
825,positive
826,positive
827,positive
828,positive
829,positive
830,positive
831,positive
832,positive
833,positive
834,positive
835,positive
836,positive
837,positive
838,positive
839,positive
840,positive
841,positive
842,positive
843,positive
844,positive
845,positive
846,positive
847,positive
848,positive
849,positive
850,positive
851,positive
852,positive
853,positive
854,positive
855,positive
856,positive
857,positive
858,positive
859,positive
860,positive
861,positive
862,positive
863,positive
864,positive
865,positive
866,positive
867,positive
868,positive
869,positive
870,positive
871,positive
872,positive
873,positive
874,positive
875,positive
876,positive
877,positive
878,positive
879,positive
880,positive
881,positive
882,positive
883,positive
884,positive
885,positive
886,positive
887,positive
888,positive
889,positive
890,positive
891,positive
892,positive
893,positive
894,positive
895,positive
896,positive
897,positive
898,positive
899,positive
900,positive
901,positive
902,positive
903,positive
904,positive
905,positive
906,positive
907,positive
908,positive
909,positive
910,positive
911,positive
912,positive
913,positive
914,positive
915,positive
916,positive
917,positive
918,positive
919,positive
920,positive
921,positive
922,positive
923,positive
924,positive
925,positive
926,positive
927,positive
928,positive
929,positive
930,positive
931,positive
932,positive
933,positive
934,positive
935,positive
936,positive
937,positive
938,positive
939,positive
940,positive
941,positive
942,positive
943,positive
944,positive
945,positive
946,positive
947,positive
948,positive
949,positive
950,positive
951,positive
952,positive
953,positive
954,positive
955,positive
956,positive
957,positive
958,positive
959,positive
960,positive
961,positive
962,positive
963,positive
964,positive
965,positive
966,positive
967,positive
968,positive
969,positive
970,positive
971,positive
972,positive
973,positive
974,positive
975,positive
976,positive
977,positive
978,positive
979,positive
980,positive
981,positive
982,positive
983,positive
984,positive
985,positive
986,positive
987,positive
988,positive
989,positive
990,positive
991,positive
992,positive
993,positive
994,positive
995,positive
996,positive
997,positive
998,positive
999,positive
1000,positive
1001,positive
1002,positive
1003,positive
1004,positive
1005,positive
1006,positive
1007,positive
1008,positive
1009,positive
1010,positive
1011,positive
1012,positive
1013,positive
1014,positive
1015,positive
1016,positive
1017,positive
1018,positive
1019,positive
1020,positive
1021,positive
1022,positive
1023,positive
1024,positive
1025,positive
1026,positive
1027,positive
1028,positive
1029,positive
1030,positive
1031,positive
1032,positive
1033,positive
1034,positive
1035,positive
1036,positive
1037,positive
1038,positive
1039,positive
1040,positive
1041,positive
1042,positive
1043,positive
1044,positive
1045,positive
1046,positive
1047,positive
1048,positive
1049,positive
1050,positive
1051,positive
1052,positive
1053,positive
1054,positive
1055,positive
1056,positive
1057,positive
1058,positive
1059,positive
1060,positive
1061,positive
1062,positive
1063,positive
1064,positive
1065,positive
1066,positive
1067,positive
1068,positive
1069,positive
1070,positive
1071,positive
1072,positive
1073,positive
1074,positive
1075,positive
1076,positive
1077,positive
1078,positive
1079,positive
1080,positive
1081,positive
1082,positive
1083,positive
1084,positive
1085,positive
1086,positive
1087,positive
1088,positive
1089,positive
1090,positive
1091,positive
1092,positive
1093,positive
1094,positive
1095,positive
1096,positive
1097,positive
1098,positive
1099,positive
1100,positive
1101,positive
1102,positive
1103,positive
1104,positive
1105,positive
1106,positive
1107,positive
1108,positive
1109,positive
1110,positive
1111,positive
1112,positive
1113,positive
1114,positive
1115,positive
1116,positive
1117,positive
1118,positive
1119,positive
1120,positive
1121,positive
1122,positive
1123,positive
1124,positive
1125,positive
1126,positive
1127,positive
1128,positive
1129,positive
1130,positive
1131,positive
1132,positive
1133,positive
1134,positive
1135,positive
1136,positive
1137,positive
1138,positive
1139,positive
1140,positive
1141,positive
1142,positive
1143,positive
1144,positive
1145,positive
1146,positive
1147,positive
1148,positive
1149,positive
1150,positive
1151,positive
1152,positive
1153,positive
1154,positive
1155,positive
1156,positive
1157,positive
1158,positive
1159,positive
1160,positive
1161,positive
1162,positive
1163,positive
1164,positive
1165,positive
1166,positive
1167,positive
1168,positive
1169,positive
1170,positive
1171,positive
1172,positive
1173,positive
1174,positive
1175,positive
1176,positive
1177,positive
1178,positive
1179,positive
1180,positive
1181,positive
1182,positive
1183,positive
1184,positive
1185,positive
1186,positive
1187,positive
1188,positive
1189,positive
1190,positive
1191,positive
1192,positive
1193,positive
1194,positive
1195,positive
1196,positive
1197,positive
1198,positive
1199,positive
1200,positive
1201,positive
1202,positive
1203,positive
1204,positive
1205,positive
1206,positive
1207,positive
1208,positive
1209,positive
1210,positive
1211,positive
1212,positive
1213,positive
1214,positive
1215,positive
1216,positive
1217,positive
1218,positive
1219,positive
1220,positive
1221,positive
1222,positive
1223,positive
1224,positive
1225,positive
1226,positive
1227,positive
1228,positive
1229,positive
1230,positive
1231,positive
1232,positive
1233,positive
1234,positive
1235,positive
1236,positive
1237,positive
1238,positive
1239,positive
1240,positive
1241,positive
1242,positive
1243,positive
1244,positive
1245,positive
1246,positive
1247,positive
1248,positive
1249,positive
1250,positive
1251,positive
1252,positive
1253,positive
1254,positive
1255,positive
1256,positive
1257,positive
1258,positive
1259,positive
1260,positive
1261,positive
1262,positive
1263,positive
1264,positive
1265,positive
1266,positive
1267,positive
1268,positive
1269,positive
1270,positive
1271,positive
1272,positive
1273,positive
1274,positive
1275,positive
1276,positive
1277,positive
1278,positive
1279,positive
1280,positive
1281,positive
1282,positive
1283,positive
1284,positive
1285,positive
1286,positive
1287,positive
1288,positive
1289,positive
1290,positive
1291,positive
1292,positive
1293,positive
1294,positive
1295,positive
1296,positive
1297,positive
1298,positive
1299,positive
1300,positive
1301,positive
1302,positive
1303,positive
1304,positive
1305,positive
1306,positive
1307,positive
1308,positive
1309,positive
1310,positive
1311,positive
1312,positive
1313,positive
1314,positive
1315,positive
1316,positive
1317,positive
1318,positive
1319,positive
1320,positive
1321,positive
1322,positive
1323,positive
1324,positive
1325,positive
1326,positive
1327,positive
1328,positive
1329,positive
1330,positive
1331,positive
1332,positive
1333,positive
1334,positive
1335,positive
1336,positive
1337,positive
1338,positive
1339,positive
1340,positive
1341,positive
1342,positive
1343,positive
1344,positive
1345,positive
1346,positive
1347,positive
1348,positive
1349,positive
1350,positive
1351,positive
1352,positive
1353,positive
1354,positive
1355,positive
1356,positive
1357,positive
1358,positive
1359,positive
1360,positive
1361,positive
1362,positive
1363,positive
1364,positive
1365,positive
1366,positive
1367,positive
1368,positive
1369,positive
1370,positive
1371,positive
1372,positive
1373,positive
1374,positive
1375,positive
1376,positive
1377,positive
1378,positive
1379,positive
1380,positive
1381,positive
1382,positive
1383,positive
1384,positive
1385,positive
1386,positive
1387,positive
1388,positive
1389,positive
1390,positive
1391,positive
1392,positive
1393,positive
1394,positive
1395,positive
1396,positive
1397,positive
1398,positive
1399,positive
1400,positive
1401,positive
1402,positive
1403,positive
1404,positive
1405,positive
1406,positive
1407,positive
1408,positive
1409,positive
1410,positive
1411,positive
1412,positive
1413,positive
1414,positive
1415,positive
1416,positive
1417,positive
1418,positive
1419,positive
1420,positive
1421,positive
1422,positive
1423,positive
1424,positive
1425,positive
1426,positive
1427,positive
1428,positive
1429,positive
1430,positive
1431,positive
1432,positive
1433,positive
1434,positive
1435,positive
1436,positive
1437,positive
1438,positive
1439,positive
1440,positive
1441,positive
1442,positive
1443,positive
1444,positive
1445,positive
1446,positive
1447,positive
1448,positive
1449,positive
1450,positive
1451,positive
1452,positive
1453,positive
1454,positive
1455,positive
1456,positive
1457,positive
1458,positive
1459,positive
1460,positive
1461,positive
1462,positive
1463,positive
1464,positive
1465,positive
1466,positive
1467,positive
1468,positive
1469,positive
1470,positive
1471,positive
1472,positive
1473,positive
1474,positive
1475,positive
1476,positive
1477,positive
1478,positive
1479,positive
1480,positive
1481,positive
1482,positive
1483,positive
1484,positive
1485,positive
1486,positive
1487,positive
1488,positive
1489,positive
1490,positive
1491,positive
1492,positive
1493,positive
1494,positive
1495,positive
1496,positive
1497,positive
1498,positive
1499,positive
1500,positive
1501,positive
1502,positive
1503,positive
1504,positive
1505,positive
1506,positive
1507,positive
1508,positive
1509,positive
1510,positive
1511,positive
1512,positive
1513,positive
1514,positive
1515,positive
1516,positive
1517,positive
1518,positive
1519,positive
1520,positive
1521,positive
1522,positive
1523,positive
1524,positive
1525,positive
1526,positive
1527,positive
1528,positive
1529,positive
1530,positive
1531,positive
1532,positive
1533,positive
1534,positive
1535,positive
1536,positive
1537,positive
1538,positive
1539,positive
1540,positive
1541,positive
1542,positive
1543,positive
1544,positive
1545,positive
